"town","address","tower_type","height","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Pomfret","*** Pomfret St","monopole","170","Verizon @ 157'","Sprint @ 167'","T-Mobile @ 147'",,,,,,
"New Milford","*** Ridge Rd/*** Ridge Road","self-supporting lattice","130","new mil catv @? (receive only)","T-Mobile @ 127'","charter @ ?",,,,,,
"Colchester","*** Old Hartford Road","silo","35'",,,,,,,,,
"Waterbury","*** South Main Street","utility pole","36","AT&T@ 36'",,,,,,,,
"Simsbury","** Wintonbury Rd.","self-supporting lattice","100","Sprint @ 80'","Nextel @ 73'","MetroPCS @ 87'",,,,,,
"Norwalk","** Richards Avenue","rooftop","89.9'","AT&T @ 121'","Sprint @ 99'","T-Mobile @ 97'","Verizon @ 89.9'","clearwire",,,,
"Coventry","**** (****) Main Street","self-supporting lattice","190","Verizon @ 150'","Nextel @ 120'",,,,,,,
"West Hartford","*** South Main Street","rooftop","21","Verizon @ 27.8'",,,,,,,,
"Fairfield","*** Pequot Avenue","steeple",,"Cingular @ 85'",,,,,,,,
"New London","** Manwaring Street","utility pole","37","Verizon @ 37'",,,,,,,,
"Washington","** Blackville Road","monopine","135","AT&T @ 126'","lcd @ 135'","T-Mobile @ 115","Verizon @ 100'",,,,,
"Old Lyme","**-* Boggy Hole Road","monopole","175","T-Mobile @ 172'","Cingular @ 152'","Verizon @ 162'","Nextel @ 132'","Dish @ 155'",,,,
"Tolland","Metcalf Road","utility pole","40","Verizon @ 40'",,,,,,,,
"East Granby","** Floydville Road","monopole","120","Cingular/AT&T @ 89'","T-Mobile @ 107'","Verizon @ 118'","MetroPCS @ 97'","Dish @ 97'",,,,
"Stafford","*** Hampden Road","guyed lattice","180'; 60'","Nextel @ 150'",,,,,,,,
"Waterford","*** Old Colchester","power mount","109","Cingular/AT&T @ 109'",,,,,,,,
"Barkhamsted","** Gavitt Road","monopole","170","AT&T @ 167'","Verizon @ 157'","T-Mobile @ 147'",,,,,,
"Stonington","** Jerry Brown Road","o-flagpole","160","T-Mobile @ 135'","Cingular/AT&T @ 125'","Nextel",,,,,,
"Norwich","*** Main Street","Building Mounted Monopole (Small cell)","85","Verizon @ 86.5'",,,,,,,,
"New Haven","** Shelton Avenue (** Shelton)","rooftop",,"T-Mobile @ 80'","Verizon @ 86/82'",,,,,,,
"Shelton","* Mountain View Drive","rooftop",,"T-Mobile @ 46'","Sprint @ 85'",,,,,,,
"New Britain","*** Grand Street","rooftop",,"T-Mobile @ 77'",,,,,,,,
"Putnam","* Livery Street","rooftop","90'",,,,,,,,,
"Norwalk","*** Rowayton Ave","monopole","95","Cingular/AT&T @ 98'",,,,,,,,
"Avon","*** Deercliff Road","guyed lattice","435",,,,,,,,,
"New Hartford","*** Southeast Road/** Garrett Ridge Drive","monopole","160","Sprint @ 150'","Cingular @ 130'","Verizon @ 160'","MetroPCS @ 110'","T-Mobile @ 150'",,,,
"Stamford","**** East Main Street","rooftop",,"Sprint @ 80'",,,,,,,,
"Glastonbury","**** Hebron Avenue","power mount","130","Verizon @ 150'",,,,,,,,
"Canaan","*** Route * South (Falls Village)","Monopine","150","Verizon @ 150'","AT&T @ 140'",,,,,,,
"Danbury","* Casper Street","in-building IP access",,"T-Mobile",,,,,,,,
"Redding","Mountain Road","power mount","68","T-Mobile @ 74.5'",,,,,,,,
"Berlin","**** Wilbur Cross Highway (Berlin Tpke)","monopole","180","Sprint @ 150'","Cingular/AT&T 168'","T-Mobile @ 160'","Verizon @ 118'",,,,,
"Meriden","West Peak Dr","self-supporting lattice","125","Cingular @ 131'","T-Mobile @ 127.5'","arrow bus @ 132'",,,,,,
"Newtown","** Main Street","utility pole","35","Verizon @ 35'",,,,,,,,
"Griswold","**** Glasgo Road","monopole","199","Verizon @ 197'","T-Mobile @ 185'","Dish @ 125'",,,,,,
"New Haven","*** Ferry Street","rooftop",,,,,,,,,,
"Ashford","** Janoski Road","self-supporting lattice","190","Verizon @ 180'","T-Mobile @ 151.8'","Cingular @ 140'","MetroPCS @ 160'","Sprint @ 190'","Dish @ 130'",,,
"Shelton","*** Beard Sawmill Road","rooftop",,"AT&T",,,,,,,,
"Windsor","**** Poquonock Avenue","rooftop cupola",,"T-Mobile @ 55'",,,,,,,,
"Fairfield","*** Tunxis Hill Road","rooftop",,"Verizon @ ?","Sprint @ 72' & 84'",,,,,,,
"Southington","**** Meriden-Waterbury Turnpike","rooftop small cell","25","Verizon @ 32'",,,,,,,,
"North Canaan","*** Main St","building mount","48","Cingular @ 44'","T-Mobile @ 47'",,,,,,,
"Tolland","*** Walbridge Hill Road","guyed lattice","75",,,,,,,,,
"Vernon","*** Hartford Tpk","rooftop",,"AT&T @ 50'","Sprint @ 66'","Nextel @ 62'","Verizon @ 63.3",,,,,
"Bridgeport","* Lincoln Blvd","stadium light pole",,"Sprint @ 95'",,,,,,,,
"Southbury","**** Old Waterbury Rd","monopole","230","Verizon @ 228'","T-Mobile @ 200'","Cingular @ 190'","Cingular/AT&T @ 185'","Sprint @ 175'","Dish @ 218",,,
"Rocky Hill","* (R***) West Street","monopole","100","Cingular @ 100'","Verizon @ 90'",,,,,,,
"New Haven","*** Orange Street","rooftop",,"T-Mobile @ 105'",,,,,,,,
"Greenwich","**** King Street","in-building IP access",,"T-Mobile",,,,,,,,
"Windsor Locks","* Bradley International Airport (Sheraton Hotel - Schoephoester Road)","rooftop","102","Verizon @ 43'","T-Mobile @ 101'","Sprint/Nextel @ 122'","Cingular @ 92'",,,,,
"Hamden","*** Woodin Street","monopole","120'","Verizon @ 120'","T-Mobile @ 110'",,,,,,,
"Wilton","Rivergate Drive","power mount","100","AT&T @ 103'",,,,,,,,
"Danbury","*** Triangle Street","utility pole","36","AT&T @ 36'",,,,,,,,
"East Lyme","*** Flanders Road","power mount","100","T-Mobile @ 97'",,,,,,,,
"Stamford","*** Weed Hill Avenue","water tank",,"T-Mobile @ 85'","Sprint/Nextel @ 85'","clearwire","Verizon @ 84'",,,,,
"Branford","*** East Main Street","wood pole","50","Eversource @49'",,,,,,,,
"Stonington","*** Al Harvey Road","monopole","180'","Verizon @ 167', 177'","DISH @ 157'",,,,,,,
"New Haven","*** Hamilton Street","rooftop",,"Sprint @ 63'",,,,,,,,
"Stamford","** Berkeley Street","utility pole","31","AT&T @ 31'",,,,,,,,
"New Haven","*** Howard Avenue","rooftop",,"T-Mobile @ 160'",,,,,,,,
"Weston","* Tall Pines Drive (Transmission Line Structure No. ***)","power mount","81'","AT&T @ 95'",,,,,,,,
"Fairfield","****-**** Black Rock Tpk.","flagpole","90","Sprint @ 98'","Nextel @ 75'","clearwire @ 69'",,,,,,
"New Haven","*** Forbes St.","building mount","75","Verizon @ 71.9'",,,,,,,,
"Farmington","** Maple Ridge Road","power mount","100","Sprint @ 100'","Cingular @ 88'",,,,,,,
"Hartford","*** Asylum Street","building mount","95","Verizon @ 107.9'",,,,,,,,
"Norwich","** Maennerchor Avenue","monopole","120","T-Mobile @ 117'","MetroPCS @ 120'","AT&T @ 128'","Verizon @ 100'","Dish @ 91'",,,,
"Hartland","** Welsh Road","lattice","180'","Verizon @ 180'","town @ 180'",,,,,,,
"Greenwich","*** West Putnam Avenue","utility pole","31","AT&T @ 31'",,,,,,,,
"Guilford","Moose Hill Road","monopole","110","T-Mobile @ 108'","Dish @ 97'",,,,,,,
"Hamden","**** Dixwell Avenue","utility pole","37","Verizon @ 37'",,,,,,,,
"Bridgeport","*** Arctic Street","rooftop",,"Cingular @ 128'",,,,,,,,
"Danbury","** South Street","utility pole","32","AT&T @ 31.5'",,,,,,,,
"Stamford","*** High Ridge Road","rooftop",,"AT&T",,,,,,,,
"New Haven","*** Grand Avenue","rooftop",,,,,,,,,,
"New Haven","** Chapel Street","utility pole","36","AT&T @ 36'",,,,,,,,
"West Haven","*** Saw Mill Road","rooftop","115'","Sprint @ 75'","Nextel @ 72'","Cingular @ ?","Sprint @ 75'",,,,,
"Plainfield","** Community Ave","smoke stack",,"T-Mobile @ 124'",,,,,,,,
"Norwalk","Price Avenue/Fairview Street","water tank","63'","Verizon @ 63'",,,,,,,,
"Stamford","** Seaview Avenue","rooftop",,"Verizon @ 100'","T-Mobile @ 109'","Sprint @ 111'",,,,,,
"Killingly","*** Providence Pike","guyed lattice","190","T-Mobile @ 140'","Verizon @ 187'","AT&T @ 154', 161', 168', 175'",,,,,,
"Danbury","** West St","building mount/lattice","70","Cingular @ 70'",,,,,,,,
"Naugatuck","*** Andrew Mountain Road","monopole","120","AT&T @ 116'","Verizon @ 106'","Dish @ 96'",,,,,,
"Torrington","*** University Drive","guyed lattice","300","AT&T @ 297'",,,,,,,,
"Waterford","** Oil Mill Road","power mount","99","T-Mobile @ 95'",,,,,,,,
"Bridgewater","** Wewaka Brook Road","monopole","170","AT&T @ 166'",,,,,,,,
"Norwalk","* Shirley Street, WNLK Radio","guyed lattice","336","Cingular @ 75'","clearwire","Verizon @ 101'","Dish @ 110'",,,,,
"Meriden","*** (***) East Main Street","rooftop",,"Cingular @ 75'","Sprint @ 73'","T-Mobile @ 64'","Nextel @ 71'","pagenet @ 62'","Verizon @ 60'","MetroPCS @ 60'",,
"Milford","Broad Street","utility pole","37","Verizon @ 37'",,,,,,,,
"Killingworth","Route **","self-supporting lattice","160","Verizon @ 160'/135'/125'/60'","Sprint @ 140'","Nextel @ 120'","Cingular/AT&T @ 92'","Dish @ 140'",,,,
"Woodbridge","** Woodfield Road","monopole",,"Cingular @ 98'","Verizon @ 90'","Dish @ 67'",,,,,,
"Enfield","*** Hazard Avenue","church steeple","115","Verizon @ 115'",,,,,,,,
"East Hartford","*** Silver Lane (Rentschler Field)","indoor/rooftop",,"Cingular (indoor)/150'","T-Mobile @ 163'","Nextel @ 155'","Verizon @ 102.8'",,,,,
"Bridgeport","**** Fairfield Avenue","smokestack","87","clearwire @ 81'",,,,,,,,
"Old Saybrook","* Custom Drive","small cell","24","Verizon @ 31.3'",,,,,,,,
"Stratford","Warner Hill Road","utility pole","37","Verizon @ 37'",,,,,,,,
"Hamden","*** Booth Terrace","self-supporting lattice","100",,,,,,,,,
"Hartford","*** Prospect Avenue","rooftop",,"T-Mobile @ 51'",,,,,,,,
"Fairfield","Route *** (Westport Turnpike) #***","power mount","81","T-Mobile @ 96'",,,,,,,,
"Stafford","** Brendan St","monopole","115","Verizon @ 113'","Sprint @ 100'","Cingular @ 90'","Nextel @ 76'","T-Mobile @ 123'",,,,
"Glastonbury","*** Birch Mountain Road","guyed lattice","220'","Verizon @ 180'/166'/155'/115'",,,,,,,,
"Hartford","*** Broad St. (State Armory)","guyed lattice","135","necs @ 68'","dps @ 114'","dep,dmv,dot,dps,dph,military,state&county fire @ 80-135'",,,,,,
"Stamford","*** Glenbrook Road","utility pole","36","AT&T @ 36'",,,,,,,,
"New Milford","* Elkington Farm Rd/Aspectuck Ave(Taylor Terrace)","monopole","150","Nextel @ 110'","Cingular/AT&T @ 120'","Cingular @ 152'","Verizon @ 133'","DISH @ 132'",,,,
"West Hartford","**** New Britain Avenue (West Farms Mall)","rooftop",,"Verizon @ 51.5'","T-Mobile @ 53'","AT&T",,,,,,
"Meriden","** West Peak Drive","self-supporting lattice","135","Sprint @ 70'",,,,,,,,
"Norwich","*** Salem Turnpike","in-building IP access",,"T-Mobile",,,,,,,,
"Bridgeport","Grovers Avenue","utility pole","24",,,,,,,,,
"Avon","** Montevideo Road","self-supporting lattice","150'","Sprint @ 147'","T-Mobile @ 137'",,,,,,,
"Milford","*** High Street (Laurelton Hall)","smokestack",,"Verizon @ 66.9'",,,,,,,,
"New Fairfield","*** Ball Pond Road","monopole","175","Nextel @ 150'","Verizon @ 125'","Cingular @ 135'","T-Mobile @ 145'","Dish @ 165'",,,,
"Wallingford","** North Airline Road","wood pole","43","Verizon @ 43'",,,,,,,,
"New Haven","*** Davenport Avenue","rooftop",,"usa mobility wireless",,,,,,,,
"Shelton","* Corporate Drive","rooftop",,"Sprint @ 110'","T-Mobile @ 137'","MetroPCS @ 155'",,,,,,
"Derby","** Fifth Street","steeple",,"Nextel @ 30'",,,,,,,,
"Hartford","*** Sisson Avenue","rooftop",,"Verizon @ 53'",,,,,,,,
"Stamford","**** East Main Street","rooftop","44","Verizon @ 43'",,,,,,,,
"Norwalk","*** Main Avenue","utility pole","32","AT&T @ 32'",,,,,,,,
"Berlin","*** Beckley Rd","monopole","150","Cingular @ 150'","Sprint @ 127'","T-Mobile @ 142'","Verizon @ 116'","Nextel @ 96'","DISH @105'",,,
"Portland","*** Bartlett Street","utility pole","24","Verizon @ 24'",,,,,,,,
"Ledyard","**** Route **","utility pole","23","Verizon @ 23.6'",,,,,,,,
"Bolton","*** Box Mountain","self-supporting lattice","450","mediaflo @ 379'","MetroPCS @ 200'","Clearwire @ 150'",,,,,,
"Windsor","**** Kennedy Road","small cell","29","Verizon @ 29'",,,,,,,,
"Woodstock","** West Quassett Rd.","monopole","150","Verizon @ 147'","AT&T @ 138'","Dish @ 127'",,,,,,
"Farmington","** Old Mountain Rd","monopole","63","Eversource @ 63'",,,,,,,,
"New Haven","*** College Street","rooftop",,"AT&T @ 200'",,,,,,,,
"Oxford","*** Oxford Rd","monopole","150","Verizon @ 130'","Cingular @ 140'","MetroPCS @ 117'","DISH @ 107",,,,,
"Manchester","** Clinton Street","utility pole","36","AT&T @ 36'",,,,,,,,
"Cheshire","**** Summit Road","monopole","170","Sprint @ 147'","T-Mobile @ 138'","Nextel @ 127.5'","Verizon @ 168'","Dish @ 123'",,,,
"Haddam","*** Plains Road (Turkey Hill Rd)","self-supporting lattice","180","Verizon @ 180'/174'/150'/125'/60'","Cingular @ 165'","Sprint @ 150'","T-Mobile @ 186'","Dish @ 140'",,,,
"South Windsor","*** Sullivan Avenue","rooftop small cell","36","Verizon @ 36'",,,,,,,,
"Newtown","Queen Street","utility pole","31","Verizon @ 31'",,,,,,,,
"Hartford","*** Westland Street","utility pole","32","AT&T @ 32'",,,,,,,,
"Derby","** (**) Pleasant View Road","flagpole","120'","T-Mobile @120'","Verizon @ 107'","MetroPCS @ 97'","clearwire @ 84'","Dish @ 97'",,,,
"Middletown","** Bartholomew Road","power mount","95","Cingular/AT&T @ 93'","T-Mobile @ 83'",,,,,,,
"Cromwell","Court Street","tower","48'",,,,,,,,,
"Stratford","*** Chapel Street","power mount","88","MetroPCS @ 104'",,,,,,,,
"Bridgeport","** Congress","rooftop",,,,,,,,,,
"Orange","*** Marsh Hill Road","self-supporting lattice","100","ui @ various hts.",,,,,,,,
"Brookfield","Obtuse Hill Road","utility pole","39","Verizon @ 39'",,,,,,,,
"West Hartford","*** North Main Street","rooftop","49'","Verizon @ 49'",,,,,,,,
"Trumbull","*** Quarry Road","power mount","150","Cingular/AT&T @ 153-160'","Sprint @ 100'",,,,,,,
"Ridgefield","** Halpin Lane","power mount","105","Cingular/AT&T @ 117'",,,,,,,,
"Clinton","** Cow Hill Road","self-supporting lattice","212","Verizon @ 208'/130'/60'","Sprint @ 196'","T-Mobile @ 135'","Nextel @ 175'","Cingular @ 190'","Dish @ 118'",,,
"Southington","** East Street","o-monopine","90","Verizon @ 80'",,,,,,,,
"East Hampton","North Maple Street","utility pole","28","Verizon @ 28'",,,,,,,,
"Windsor","Park Avenue","utility pole","30","Verizon @ 30'",,,,,,,,
"Stamford","** Hamilton Avenue","utility pole","43","AT&T @ 42'",,,,,,,,
"Norwalk","*** */* West Rocks Road (*** West Rock)","water tank","115","Sprint @ 98'","T-Mobile @ 49/92/108'","Verizon @ 94.2'","Cingular @ 70'/87'","Nextel @ 117.6'","T-Mobile @ 106'","Dish @ 96'",,
"Bethel","Stony Hill Road","utility pole","34","Verizon @ 34.4'",,,,,,,,
"Coventry","Foley Lane","monopole","140","Verizon @ 140'",,,,,,,,
"New London","*** Huntington Street","small cell","60","Verizon @ 59'",,,,,,,,
"Thompson","*** Quinebaug Road","monopole","130'","Cingular @ 130'","Verizon @ 120'","T-Mobile @ 105'",,,,,,
"Bloomfield","* Hoskins Rd. (St. Andrews Road)","self-supporting lattice","185","Cingular @ 161'","Sprint @ 80'","Verizon @ 150'","T-Mobile @ 140'","town police @ var.","DESPP @ 183'",,,
"Stamford","**** Washington Boulevard","rooftop",,"AT&T @ 87'",,,,,,,,
"Southington","*** Andrews St","power mount","100","Sprint @ 115'",,,,,,,,
"Middlebury","**** Wittemore Road","steeple","67","Verizon @ 67'",,,,,,,,
"Canterbury","** Cemetery Road","monopole","160","Verizon @ 157'",,,,,,,,
"New Britain","* Hartford Sq.","self-supporting lattice","175","Cingular @ 161'","Verizon @ 132'","northcoast @ 132'","DISH @ 130'",,,,,
"Stamford","** Strawberry Hill Avenue","rooftop","136","Verizon @ 136'",,,,,,,,
"Avon","*** Lovely Street","monopole","110","Cingular @ 107', 99', 91'","MetroPCS @ 75'","DISH @ 60, 67",,,,,,
"Trumbull","Indian Ledge Park","monopole","195","Sprint @ 165'","Cingular @ 190'","Nextel @ 135'","Verizon @ 155'","T-Mobile @ 145'","Dish @175'",,,
"West Hartford","*** Sherbrooke Avenue","rooftop",,"Verizon @ 49'",,,,,,,,
"Westport","*** Post Road","self-supporting lattice","180","dps @ 72'","Verizon @ 180'","Cingular @ 133'","T-Mobile @ 125'","Dish @ 144'",,,,
"Bristol","*** North Main Street","rooftop",,"Sprint @ 96'",,,,,,,,
"Norwalk","** Belden Avenue","rooftop","84'","AT&T @ 141","T-Mobile @ 110'","Verizon @ 84'","Nextel @ 98'","MetroPCS @ 91.5'","clearwireless","Sprint @ 90 & 96'",,
"Westport","*** Post Road West (Eversource #*****)","utility pole","34","AT&T @ 36'",,,,,,,,
"Norfolk","*** Winchester Rd","self-supporting lattice","180","dps @ 180'","lcd @ 147'","dps/AT&T @ 120'",,,,,,
"East Hartford","*** Connecticut Blvd","rooftop",,"Sprint @ 123'","T-Mobile @ 111'","Nextel @ 95'","Verizon @ 111'",,,,,
"Hebron","** Wall Street","flag-monopole","150","Verizon @ 135'","Cingular/AT&T @ 115'","Sprint @ 145'","DISH @ 145'",,,,,
"Stratford","*** East Main Street Rear","monopole","135","AT&T @ 132'","Verizon @ 121'","DISH @ 111'","T-Mobile @ 91'",,,,,
"East Lyme","Nehantic Drive","utility pole","26","Verizon @ 26'",,,,,,,,
"Bridgeport","**** North Avenue","rooftop","90","Nextel @ 90'","Verizon @ 100/94'",,,,,,,
"Norwalk","*** Connecticut Avenue","rooftop",,,,,,,,,,
"New Haven","*** (***) Peck Street","smokestack/rooftop","67.9'","Cingular @ 66'","Sprint @ 68'","Verizon @ 67.9'","Nextel @ 56'","T-Mobile @ 78'",,,,
"Guilford","*** Cooks Lane Rd, Totoket Ridge","self-supporting lattice","180","Cingular @ 152.5'","Verizon @ 175'","dps @ 127/130'",,,,,,
"Rocky Hill","**** Maple Street","utility pole","24","Verizon @ 24'",,,,,,,,
"Sherman","** Coote Hill Road","monopole","170","AT&T@ 166'",,,,,,,,
"Union","* Carion Road","monopole","180","Sprint @ 180'",,,,,,,,
"Hamden","*** Putnam Avenue","ballast mounted monopole","100","T-Mobile @ 95'",,,,,,,,
"Waterbury","**** Thomaston Avenue","smokestack",,"Sprint @ 124'","T-Mobile @ 148'",,,,,,,
"Stamford","Burwood Avenue","utility pole","37","Verizon @ 37'",,,,,,,,
"Bridgeport","*** Park Avenue (*** University Ave.)","rooftop",,"Sprint @ 119'","T-Mobile @ 140'",,,,,,,
"North Stonington","*** Boombridge Rd.","guyed lattice","180","Cingular @ 175-180'","Verizon @ 136'","DISh @ 153'",,,,,,
"Waterbury","** Cherry Street","smokestack",,"T-Mobile @ 137'",,,,,,,,
"Fairfield","*** Hawthorne Dr.","wood utility pole","79","UI @ 79'",,,,,,,,
"New Milford","Rt. ***, Russeling Rd/*** Parklane Road","guyed lattice power mount","68","T-Mobile @ 83'/76'4""",,,,,,,,
"East Haddam","*** Trowbridge Road/** Nichols Road","monopole","175","Cingular @ 170'",,,,,,,,
"Stonington","** Pequotsepos Road","water tower","117' & 92'",,,,,,,,,
"Mansfield","** Storrs Road","rooftop","42","Verizon @ 42'",,,,,,,,
"Middletown","Aircraft Road","guyed lattice","200","Nextel @ 170'",,,,,,,,
"Redding","*** Simpaug Turnpike (Parcel No. **-**","monopole","150","Verizon @ 146'",,,,,,,,
"Coventry","*** Main Street","monopole","102","Cingular @ 90'","Verizon @ 102'","T-Mobile@ 80'",,,,,,
"Danbury","**-** Hakim Street","rooftop",,"Nextel @ ?",,,,,,,,
"Willington","Schofield Road","self-supporting lattice","149'","Dish @ 145'","Verizon @ 135'",,,,,,,
"Norfolk","** Ashpohtag Road","monopole","150","Sprint @ 147.5'","Cingular @ 137'","Verizon @ 127'",,,,,,
"Westport","** Ford Road","in-building",,"T-Mobile",,,,,,,,
"Franklin","** Ayer Road","monopole","180'","Verizon @ 177'","T-Mobile @ 167'","Dish @ 125'",,,,,,
"New Haven","*** Court Street","rooftop",,"Nextel @ 217'",,,,,,,,
"Bristol","*** Terryville Avenue","monopole","170","Cingular/AT&T @ 170'","Sprint @ 150'","Verizon @ 140'","MetroPCS @ 156'","Dish@ 148'",,,,
"Glastonbury","**** Main Street","utility pole","38","Verizon @ 38'",,,,,,,,
"Burlington","** Monce Road","monopole","120","AT&T @ 110'","T-Mobile @ 100'","Verizon @ 91'","DISH @ 70'",,,,,
"Seymour","* Progress Ave","self-supporting lattice","280","T-Mobile @ 250'","Cingular/AT&T @ 160'","Verizon @ 140'",,,,,,
"East Haven","** Saltonstall Road","self-supporting lattice","100","clearwire @ 85'",,,,,,,,
"Milford","*** New Haven Avenue","utility pole","29","Verizon @ 29'",,,,,,,,
"Hartford","** Bodwell Street","utility pole","36","AT&T @ 36'",,,,,,,,
"Stamford","**** Summer Street","rooftop",,"T-Mobile @ 61'","MetroPCS @ 97'",,,,,,,
"Stamford","** Research Drive","satellite dishes",,"T-Mobile @ 119'",,,,,,,,
"Waterford","Waterford Parkway North","utility pole","24","Verizon @ 23.8'",,,,,,,,
"Branford","*** Brushy Plain Rd","monopole","154","T-Mobile @ 140'","Verizon @ 110'","Cingular @ 153'","DISH @ 103'",,,,,
"Brookfield","** Vale Road (Park Ridge Road)","power mount","100","T-Mobile @ 125'","Sprint @ 132'",,,,,,,
"Stamford","* Hubbard Avenue","utility pole","33","Verizon @ 32.8'",,,,,,,,
"Tolland","** Alta Vista Avenue","guyed lattice","35",,,,,,,,,
"Bridgeport","Broad Street","utility pole","32","Verizon @ 32.4'",,,,,,,,
"East Windsor","** Depot Street (** Pond Street)","water tower","131'","Cingular @ 115'","Nextel @ 123'","T-Mobile @ 115'","Verizon @ 102.5'",,,,,
"Milford","**** Boston Post Road","rooftop","45","T-Mobile @ 37' &43'",,,,,,,,
"Killingly","** Connecticut Mills Road","water tank",,"Cingular @ 115'",,,,,,,,
"Windham","*** Boston Post Road","in-building IP access",,"T-Mobile",,,,,,,,
"New Milford","** Chapin Road","ssl","247","CL&P @ var. hts.",,,,,,,,
"Manchester","*** Center St","monopole","128","Verizon @ 113'","xm @ 125(ant)/30(dish)","EyeTower @ 91', 89', 84'","Dish @ 95",,,,,
"Danbury","** Newtown Road","small cell","29","Verizon @ 31.2'",,,,,,,,
"Fairfield","** Black Rock Turnpike","water tower",,"Sprint @ 135'","Verizon @ 120.1'","T-Mobile @ 100''",,,,,,
"Wethersfield","*** Great Meadow Rd","building mount","121","Cingular @ 121'","Sprint @ 108'","T-Mobile @ 114'","Verizon @ 102'",,,,,
"Salisbury","*** Canaan Road","monopine","150","AT&T @146'",,,,,,,,
"Vernon","Harlow Street","utility pole","32","Verizon @ 32'",,,,,,,,
"Thomaston","*** Chapel Street","monopole","175","Sprint @ 162'","Verizon @ 152'","Cingular @ 142'","T-Mobile @ 172'","town @ 125'","state police @ 125'","Dish @ 130",,
"Hamden","**** Dixwell Avenue","rooftop",,"Sprint @ 62'",,,,,,,,
"Bloomfield","**** Day Hill Road","monopole","110","Verizon @ 110'","T-Mobile @ 100'",,,,,,,
"Plainfield","**-** Unity Road","monopole","160","Sprint @ 160'","Cingular/AT&T @ 150'","T-Mobile @ 137'","Verizon @ 127'","Dish @ 83'",,,,
"Danbury","** Newtown Road","monopole","110","Verizon @ 90'","Cingular @ 100'","MetroPCS @ 108'","DISH @ 80",,,,,
"Windsor Locks","** Spring St.","monopole","106","Cingular @ 46'","sri @ 44'","Cingular/AT&T @ 81'",,,,,,
"Ledyard","*** Colonel Ledyard Hgwy.","guyed lattice","347","AT&T @ 173'",,,,,,,,
"Montville","**** Route **","guyed lattice","1089","Cingular/AT&T @ 190'","MediaFLO @ 983.5'","DISH @ 400'","Dish @ 180",,,,,
"New Haven","** Maltby Street","utility pole","36","AT&T @ 36'",,,,,,,,
"Waterbury","*** (****) East Main Street","rooftop",,"T-Mobile @ 30'",,,,,,,,
"Marlborough","**-** North Main St","monopole","170","Verizon @ 158'","T-Mobile @ 100'","Sprint @ 132'","Nextel @ 167'","Cingular @ 147'","MetroPCS @ 135'","DISH @ 116'",,
"Hampton","*** Fisk Rd","guyed lattice","160","Verizon @ 142'","Cingular/AT&T @ 130'","T-Mobile @ 115'","Sprint @ 150'","Nextel @ 160'","DISH @ 120",,,
"Trumbull","**** Reservoir Avenue","rooftop",,"Cingular @ 42'",,,,,,,,
"Hartford","* State St","building mount","300","Verizon @ 315'",,,,,,,,
"East Haven","*** Foxon Road","building mount",,"Cingular @ 28'","T-Mobile @ 67'","Sprint @ 38.4'",,,,,,
"Farmington","** Maple Ridge Road","power mount","65","T-Mobile @ 77.5'",,,,,,,,
"Lyme","*** Hamburg Road","wooden pole","90'",,,,,,,,,
"Guilford","** Tanner Marsh Rd","monopole","150","Verizon @ 150'","Sprint @ 140'",,,,,,,
"Bridgeport","*** Main Street","rooftop",,"MetroPCS @ 130'",,,,,,,,
"Stamford","*** Shippan Avenue","rooftop",,"MetroPCS @ 100'",,,,,,,,
"Wallingford","*** Quinnipiac Street","smoke stack","123'","Cingular @ 118'","T-Mobile @ 103'","Verizon @ 85'",,,,,,
"Montville","Chapel Hill Rd.","self-supporting lattice","180","town @ var. hts.","cl&p @ var.","Dish @ 110'",,,,,,
"Danbury","*** Newtown Road","rooftop",,"MetroPCS @ 62'","T-Mobile @ 62'",,,,,,,
"Greenwich","** East Putnam Avenue","rooftop","202'11""-204""","Cingular @ 67'",,,,,,,,
"Woodbury","*** Minortown Road","monopole","100","Sprint @ 100'","Verizon @ 110'","Cingular @ 80'/213'","Dish @ 68'",,,,,
"Stratford","*** Oronoque Lane","utility pole","37","Verizon @ 37.5'",,,,,,,,
"New Milford","* Old Town Park Road","power mount","160","Cingular @ 175'",,,,,,,,
"Cheshire","**** Byam Road","rooftop","20'",,,,,,,,,
"Wilton","*** Deer Run Road","self-supporting lattice","130'","Cingular @ 110'","T-Mobile @ 120'","Verizon @ 100'","Nextel @ 88'","WBC/Town @ 123, 130",,,,
"New Britain","** Wildwood Street","light pole","110'","Cingular @ 110'","T-Mobile @ 100'","Verizon @ 90'","Dish @ 80'",,,,,
"Bethel","** Stony Hill Road","utility pole","35","AT&T @ 35'",,,,,,,,
"Glastonbury","*** Bell Street","self-supporting lattice","90","greater Hftd cable @ 85'","town @ 75'","Cingular @ 88'","Verizon @ 100'","MetroPCS/T-Mobile @ 65'","Dish @ 55'",,,
"Stamford","* Metro Center (* Station Place)","rooftop","130' msl","Nextel @ 143'","Verizon @ 112'","Sprint @ 144'",,,,,,
"Hartford","**** Park Street","smokestack",,"Cingular @ 83'",,,,,,,,
"Greenwich","*** Round Hill Road-tower A","monopole/stick","115","Verizon PCS @ 110'","Verizon cellular @ 100'","Cingular/AT&T @ 90'","Verizon @ 94' - 114'",,,,,
